{'style': {'M2MM': 50000.0, 'MM2M': 10000.0}, 'dis': {'M': 0.5, 'MM': 0.5}, 'gen': {'M': 0.5, 'MM': 1.0}, 'recon': 5, 'consis': 1, 'content': 1}
{'style': {'M2MM': 50000.0, 'MM2M': 10000.0}, 'dis': {'M': 0.5, 'MM': 0.5}, 'gen': {'M': 0.5, 'MM': 1.0}, 'recon': 5, 'consis': 1, 'content': 1}
{'style': {'M2MM': 50000.0, 'MM2M': 10000.0}, 'dis': {'M': 0.5, 'MM': 0.5}, 'gen': {'M': 0.5, 'MM': 1.0}, 'recon': 5, 'consis': 1, 'content': 1}
[108/10000000] D: 1.09|G: 1.49|Recon: 1.51|Consis: 0.55|Content: 4.06|Style: 11.05|T: 8.58|| M2MM: 0.00|MM2M: 0.00| M2MM
[109/10000000] D: 1.02|G: 1.26|Recon: 1.54|Consis: 0.72|Content: 4.83|Style: 9.19|T: 8.53|| M2MM: 0.00|MM2M: 0.00| M2MM
[110/10000000] D: 1.04|G: 1.76|Recon: 1.35|Consis: 0.64|Content: 4.29|Style: 9.25|T: 8.69|| M2MM: 0.00|MM2M: 0.00| M2MM
[111/10000000] D: 1.44|G: 0.99|Recon: 1.26|Consis: 0.62|Content: 3.67|Style: 10.01|T: 8.65|| M2MM: 0.00|MM2M: 0.00| M2MM
[112/10000000] D: 1.79|G: 1.08|Recon: 1.42|Consis: 0.68|Content: 4.52|Style: 10.78|T: 8.51|| M2MM: 0.00|MM2M: 0.00| M2MM
[113/10000000] D: 1.31|G: 1.30|Recon: 1.32|Consis: 0.59|Content: 4.28|Style: 11.62|T: 8.44|| M2MM: 0.00|MM2M: 0.00| M2MM
[114/10000000] D: 1.29|G: 1.41|Recon: 1.30|Consis: 0.57|Content: 3.35|Style: 10.92|T: 8.57|| M2MM: 0.00|MM2M: 0.00| M2MM
[115/10000000] D: 1.16|G: 1.49|Recon: 1.35|Consis: 0.61|Content: 4.56|Style: 9.58|T: 8.54|| M2MM: 0.00|MM2M: 0.00| M2MM
[116/10000000] D: 1.21|G: 1.39|Recon: 1.32|Consis: 0.54|Content: 3.28|Style: 11.27|T: 8.55|| M2MM: 0.00|MM2M: 0.00| M2MM
[117/10000000] D: 1.17|G: 1.21|Recon: 1.24|Consis: 0.56|Content: 4.18|Style: 11.05|T: 8.51|| M2MM: 0.00|MM2M: 0.00| M2MM
[118/10000000] D: 1.16|G: 1.35|Recon: 1.22|Consis: 0.59|Content: 3.90|Style: 9.68|T: 8.41|| M2MM: 0.00|MM2M: 0.00| M2MM
[119/10000000] D: 1.17|G: 1.34|Recon: 1.30|Consis: 0.63|Content: 4.37|Style: 9.04|T: 8.45|| M2MM: 0.00|MM2M: 0.00| M2MM
[120/10000000] D: 1.10|G: 1.19|Recon: 1.24|Consis: 0.61|Content: 4.61|Style: 8.09|T: 8.61|| M2MM: 0.00|MM2M: 0.00| M2MM
[121/10000000] D: 1.22|G: 1.68|Recon: 1.20|Consis: 0.56|Content: 3.70|Style: 10.00|T: 8.42|| M2MM: 0.00|MM2M: 0.00| M2MM
